frame,state,src,err,curv,speed,steer,light_phase,light,light_area
287,DRIVE,center,0.6971,-0.4963,0.26,-11.4,GO,None,0
288,DRIVE,center,0.6815,-0.4908,0.26,-10.98,GO,None,0
289,DRIVE,center,0.7479,-0.5179,0.26,-14.77,GO,None,0
290,DRIVE,center,0.6975,-0.4808,0.26,-10.42,GO,None,0
291,DRIVE,center,0.7082,-0.4182,0.26,-13.13,GO,None,0
292,DRIVE,center,0.7082,-0.3774,0.26,-13.22,GO,None,0
293,DRIVE,center,0.7011,-0.353,0.26,-13.08,GO,None,0
294,DRIVE,center,0.7526,-0.3493,0.26,-16.11,GO,None,0
295,DRIVE,center,0.7147,-0.4003,0.26,-12.01,GO,None,0
296,DRIVE,center,0.6589,-0.3681,0.26,-10.46,GO,None,0
297,DRIVE,center,0.6903,-0.3483,0.26,-14.02,GO,None,0
298,DRIVE,center,0.7106,-0.333,0.26,-14.33,GO,None,0
299,DRIVE,center,0.73,-0.3565,0.26,-14.54,GO,None,0
300,DRIVE,center,0.6868,-0.3366,0.26,-11.82,GO,None,0
301,DRIVE,center,0.6971,-0.3596,0.26,-13.44,GO,None,0
302,DRIVE,center,0.7275,-0.3685,0.26,-14.69,GO,None,0
303,DRIVE,center,0.6876,-0.3276,0.26,-12.03,GO,None,0
304,DRIVE,center,0.7326,-0.3455,0.26,-15.48,GO,None,0
305,DRIVE,center,0.6568,-0.3105,0.26,-10.38,GO,None,0
306,DRIVE,center,0.709,-0.3712,0.26,-14.87,GO,None,0
307,DRIVE,center,0.687,-0.4122,0.26,-11.7,GO,None,0
308,DRIVE,center,0.7062,-0.4362,0.26,-13.16,GO,None,0
309,DRIVE,center,0.715,-0.4736,0.26,-12.69,GO,None,0
310,DRIVE,center,0.7073,-0.4806,0.26,-11.94,GO,None,0
311,DRIVE,center,0.7395,-0.4565,0.26,-14.15,GO,None,0
312,DRIVE,center,0.7003,-0.4201,0.26,-11.43,GO,None,0
313,DRIVE,center,0.7503,-0.4675,0.26,-14.83,GO,None,0
314,DRIVE,center,0.7308,-0.4916,0.26,-12.04,GO,None,0
315,DRIVE,center,0.7496,-0.4989,0.26,-13.57,GO,None,0
316,DRIVE,center,0.7718,-0.4788,0.26,-14.4,GO,None,0
317,DRIVE,center,0.789,-0.4651,0.26,-14.8,GO,None,0
318,DRIVE,center,0.7361,-0.3753,0.26,-12.33,GO,None,0
319,DRIVE,center,0.7842,-0.3411,0.26,-16.85,GO,None,0
320,DRIVE,center,0.3727,-0.0134,0.31,-7.85,GO,None,0
321,DRIVE,road,0.0192,0.0154,0.36,1.15,GO,None,0
322,DRIVE,road,0.0192,0.034,0.41,-0.8,GO,None,0
323,DRIVE,road,0.0392,0.0593,0.46,-2.13,GO,None,0
324,DRIVE,road,0.1459,0.0648,0.51,-7.35,GO,None,0
325,DRIVE,center,0.3583,0.1067,0.457,-16.04,GO,None,0
326,DRIVE,center,-0.0398,-0.0351,0.507,-7.04,GO,None,0
327,DRIVE,center,-0.077,-0.1064,0.51,1.96,GO,None,0
328,DRIVE,center,0.0297,-0.2077,0.446,-1.84,GO,None,0
329,DRIVE,center,-0.0844,-0.2234,0.425,7.16,GO,None,0
330,DRIVE,center,-0.0865,-0.2773,0.386,4.91,GO,None,0
331,DRIVE,center,-0.0564,-0.5111,0.26,5.56,GO,None,0
332,DRIVE,center,-0.086,-0.4112,0.29,7.06,GO,None,0
333,DRIVE,center,-0.2474,-0.2377,0.34,13.16,GO,None,0
334,DRIVE,center,-0.1542,-0.2387,0.39,4.16,GO,None,0
335,DRIVE,center,-0.1841,-0.2405,0.394,7.72,GO,None,0
336,DRIVE,center,-0.2111,-0.2449,0.386,8.33,GO,None,0
337,DRIVE,road,-0.2845,-0.2587,0.362,11.62,GO,None,0
338,DRIVE,road,-0.2845,-0.2677,0.356,9.51,GO,None,0
339,DRIVE,road,-0.2594,-0.174,0.406,7.21,GO,None,0
340,DRIVE,road,-0.3125,-0.1131,0.456,10.22,GO,None,0
341,DRIVE,road,-0.3875,-0.0735,0.475,12.29,GO,None,0
342,DRIVE,road,-0.3875,-0.0478,0.493,9.78,GO,None,0
343,DRIVE,road,-0.475,-0.0311,0.489,14.34,GO,None,0
344,DRIVE,road,-0.475,-0.0202,0.497,11.6,GO,None,0
345,LANE_LOST,none,0.0,0.0,0.347,11.6,GO,None,0
346,LANE_LOST,none,0.0,0.0,0.197,11.6,GO,None,0
347,LANE_LOST,none,0.0,0.0,0.182,11.6,GO,None,0
348,DRIVE,road,-0.7,-0.0131,0.232,20.0,GO,None,0
349,DRIVE,road,-0.5594,-0.0085,0.282,11.0,GO,None,0
350,DRIVE,road,-0.2219,-0.0055,0.332,2.0,GO,None,0
351,DRIVE,road,-0.2,-0.0036,0.382,4.18,GO,None,0
352,DRIVE,road,0.0,-0.0023,0.432,-4.82,GO,None,0
